-275.5,90.5;-388.0,27.5
-330.0,27.5;-405.0,-54.5
-451.5,115.5;-494.0,42.5
-510.0,122.5;-549.5,37.5
-555.0,111.5;-570.5,65.0
-612.0,98.0;-626.0,56.5
-527.5,145.0;-595.0,90.0
-681.0,192.5;-676.8,52.6;-597.5,39.0
-468.0,145.0;-516.0,52.0
-445.0,177.5;-401.9,-233.5;-448.5,-338.2;-544.5,-403.5
-591.5,-339.5;-652.5,-367.5
-695.0,-303.5;-757.5,-301.5
-792.5,-284.5;-809.0,-300.5
-858.5,-284.5;-801.0,-328.5
-863.0,-341.5;-917.5,-459.5
-993.5,-453.0;-1000.0,-569.0
-1049.5,-471.5;-1123.8,-616.4;-1221.5,-662.5
-1075.5,-463.0;-1138.5,-578.5
-1086.5,-421.0;-1245.5,-558.0;-1276.5,-649.5
-1027.5,-402.5;-1003.4,-625.4;-930.0,-705.0
-990.0,-412.0;-881.2,-606.3;-879.0,-740.0
-628.0,-478.5;-750.5,-619.5;-865.5,-511.5
-901.5,-376.0;-901.5,-444.5
-867.0,-353.0;-853.5,-394.5
-895.0,-325.5;-874.0,-351.0
-879.0,-306.5;-855.0,-342.5
-867.0,-298.0;-831.5,-243.5;-922.1,-273.8;-950.0,-164.5
-963.5,-185.0;-1054.0,-252.0
-1070.0,-276.0;-1065.0,-427.5
-1108.5,-305.5;-1083.5,-335.5
-1103.0,-285.0;-1162.0,-321.0
-1072.0,-164.5;-1027.5,-212.5
-1029.0,-182.5;-1101.6,-158.1;-1218.9,-269.0;-1288.5,-271.5;-1290.2,-353.2;-1195.0,-353.5
-1079.0,-158.0;-1172.5,-112.0
-1010.0,-153.5;-1117.5,-46.0
-991.0,-233.5;-988.5,-298.0
-845.0,-200.0;-895.5,-249.0
-714.0,-266.5;-836.0,-266.5
-710.0,-305.0;-642.5,-357.0
-595.0,-474.0;-555.0,-503.5
-541.0,-498.5;-533.0,-532.5
-570.0,-535.0;-543.7,-554.9;-510.4,-501.4;-578.4,-411.0;-740.0,-470.0
-772.5,-386.0;-752.0,-488.0
-728.0,-153.5;-811.0,-217.5
-690.0,215.5;-822.5,272.5
-848.0,290.0;-820.5,256.5
-867.0,287.0;-875.0,252.0
-917.5,265.0;-901.5,245.0
-905.0,288.0;-915.1,204.7;-769.4,171.1;-823.6,-68.5;-625.4,-167.5;-612.0,-228.5
-275.5,180.5;-507.5,165.0
-210.0,300.5;-190.0,283.0
-185.5,310.5;-165.5,268.0
-150.0,262.5;-187.9,226.0;-173.6,99.1;-255.0,72.5
-160.0,330.0;-161.0,300.0
-125.0,320.5;-155.7,369.3;-250.0,330.0;-257.5,165.0
102.5,332.5;187.5,292.5
170.0,290.0;262.5,270.0
285.0,272.5;465.0,217.5;351.7,2.2;372.5,-137.5
372.5,-167.5;380.0,-195.0
362.5,-200.0;373.5,-221.0
327.5,-245.0;322.0,-277.5
305.0,-265.0;362.5,-297.5
282.5,-297.5;111.1,-561.2;50.0,-575.0;-20.0,-522.5
-50.0,-497.5;25.0,-557.5
27.5,-582.5;-104.1,-564.9;-175.0,-607.5;55.0,-622.5
22.5,-677.5;-22.5,-698.5
232.5,-412.5;252.5,-437.5
410.0,-180.0;460.0,-214.5
432.5,-155.0;417.0,-176.0
452.5,-102.5;510.0,-174.5
565.0,-160.0;525.0,-200.0
575.0,-182.5;169.9,-599.0;-92.5,-672.5
457.5,-75.0;292.7,-249.9;320.0,-345.0
635.0,-282.5;802.5,-362.5
782.5,-407.5;668.6,-518.2;627.0,-643.5;674.6,-688.0;852.5,-695.0
915.0,-672.5;832.5,-630.0
847.5,-627.5;780.0,-634.0
772.5,-650.0;697.5,-648.5
850.0,-617.5;695.0,-617.5;895.0,-452.5
882.5,-382.5;842.5,-393.5
805.0,-302.5;856.5,-304.1;896.4,-390.2;900.0,-432.5;835.0,-446.0
845.0,-285.0;757.5,-181.5
737.5,-157.5;712.5,-230.0
812.5,-227.5;747.5,-285.0
720.0,-75.0;598.4,-266.9;517.5,-232.5
642.5,-95.0;600.0,-182.5
807.5,52.5;795.0,36.5
780.0,150.0;685.0,-30.0
642.5,182.5;627.0,144.0
657.5,192.5;688.5,170.0
640.0,235.0;650.2,189.4;620.0,197.5
627.5,302.5;487.5,232.5
437.5,250.0;177.5,387.5
230.0,352.5;245.0,309.0
130.0,290.0;20.0,300.0
127.5,277.5;60.0,225.0
447.5,290.0;455.0,255.0
482.5,310.0;407.5,274.0
525.0,337.5;526.0,292.5
565.0,352.5;565.0,317.5
572.5,357.5;495.7,334.1;482.5,272.5
655.0,420.0;655.0,485.0
580.0,477.5;372.5,520.0
427.5,500.0;530.0,380.0
717.5,322.5;665.0,252.5
747.5,227.5;600.0,-82.5
882.5,457.5;851.1,129.7;700.0,-162.5
832.5,562.5;877.5,462.5
905.0,552.5;872.5,585.0
952.5,547.5;940.0,595.9;900.0,582.5
992.5,577.5;983.5,550.0
1007.5,587.5;989.6,651.9;842.5,685.0
792.5,655.0;597.4,793.5;440.0,807.5
410.0,800.5;530.1,616.3;552.5,497.5
507.5,602.5;367.5,532.5
525.0,690.0;607.5,465.0
